,backtracks,propagations,duration,satisfied,constraint_size,assignment_size
0,19,56,5.18,True,17,729
1,178,365,7.83,True,22,729
2,664,1347,14.82,True,21,729
3,1804,3621,29.08,True,25,729
4,721,1460,15.88,True,23,729
5,1476,2980,37.1,True,17,729
6,148,306,5.19,True,24,729
7,1464,2950,33.33,True,17,729
8,1012,2043,20.29,True,25,729
9,2504,5031,51.39,True,17,729
10,310,637,9.53,True,23,729
11,616,1242,11.21,True,23,729
12,976,1975,22.96,True,17,729
13,2817,5655,65.79,True,17,729
14,201,422,6.72,True,22,729
15,755,1522,16.14,True,17,729
16,2881,5788,87.12,True,17,729
17,1156,2331,21.69,True,24,729
18,4656,9323,99.03,True,17,729
19,2273,4564,47.14,True,21,729
20,5219,10463,127.07,True,17,729
21,2833,5678,76.43,True,17,729
22,2927,5876,62.2,True,17,729
23,1423,2865,38.65,True,22,729
24,52,121,4.72,True,24,729
25,4380,8776,89.09,True,17,729
26,999,2017,23.38,True,17,729
27,2929,5875,66.08,True,24,729
28,108,229,6.43,True,23,729
29,2548,5115,44.72,True,17,729
30,780,1572,19.0,True,24,729
31,1900,3814,41.61,True,22,729
32,1949,3911,43.3,True,21,729
33,551,1119,17.62,True,23,729
34,1230,2470,34.61,True,17,729
35,8530,17081,182.75,True,17,729
36,951,1923,19.56,True,17,729
37,1285,2590,20.77,True,22,729
38,678,1371,14.8,True,26,729
39,2634,5283,60.36,True,17,729
40,9099,18225,203.36,True,17,729
41,2217,4444,36.29,True,21,729
42,312,639,8.95,True,23,729
43,1818,3647,29.11,True,24,729
44,166,353,6.76,True,25,729
45,242,497,9.04,True,23,729
46,1266,2543,26.85,True,25,729
47,7561,15152,218.88,True,17,729
48,1387,2793,37.16,True,22,729
49,725,1471,18.43,True,22,729
50,100,223,6.15,True,21,729
51,304,630,10.73,True,23,729
52,912,1833,19.38,True,23,729
53,663,1343,18.83,True,17,729
54,647,1307,13.78,True,21,729
55,2282,4583,65.28,True,17,729
56,1794,3599,37.08,True,23,729
57,3420,6852,69.76,True,17,729
58,2179,4371,43.26,True,23,729
59,1135,2288,26.57,True,17,729
60,1138,2286,25.75,True,22,729
61,9970,19966,261.79,True,17,729
62,5976,11973,166.16,True,17,729
63,1574,3162,31.69,True,24,729
64,1240,2501,26.2,True,17,729
65,534,1092,14.24,True,25,729
66,2497,5011,43.11,True,23,729
67,1522,3053,27.78,True,23,729
68,1587,3196,36.45,True,19,729
69,259,537,7.64,True,25,729
70,327,671,7.87,True,17,729
71,328,677,8.09,True,17,729
72,2649,5319,71.8,True,22,729
73,2558,5133,63.48,True,17,729
74,1558,3130,39.98,True,25,729
75,530,1074,11.4,True,24,729
76,1960,3945,62.11,True,17,729
77,988,1991,17.06,True,23,729
78,389,789,10.7,True,23,729
79,1793,3602,49.84,True,19,729
80,827,1668,13.61,True,24,729
81,659,1333,14.89,True,24,729
82,390,791,9.8,True,22,729
83,2245,4511,38.62,True,24,729
84,1694,3399,40.83,True,21,729
85,675,1370,15.23,True,23,729
86,1383,2775,26.76,True,23,729
87,1046,2119,27.06,True,23,729
88,1296,2600,19.98,True,23,729
89,13181,26375,322.06,True,17,729
90,3082,6184,59.92,True,17,729
91,11986,23993,326.5,True,17,729
92,17683,35386,360.26,True,17,729
93,17175,34377,421.64,True,17,729
94,7534,15087,131.05,True,17,729
