,backtracks,propagations,duration,satisfied
0,5141,10292,139.59,True
1,24459,48928,437.33,True
2,13337,26684,320.29,True
3,5430,10872,96.89,True
4,16567,33145,406.05,True
5,9100,18216,103.6,True
6,249,506,16.07,True
7,6746,13501,187.62,True
8,4412,8834,78.76,True
9,11051,22112,293.07,True
10,5642,11292,99.79,True
11,821,1652,23.02,True
12,4682,9373,94.81,True
13,3325,6659,94.13,True
14,2099,4206,38.62,True
15,1003,2015,28.65,True
16,485,980,11.82,True
17,10172,20356,250.88,True
18,857,1721,19.56,True
19,1126,2265,25.89,True
20,1450,2911,50.76,True
21,800,1606,20.1,True
22,3726,7460,68.26,True
23,830,1667,22.04,True
24,545,1098,15.52,True
25,8748,17505,193.87,True
26,5875,11757,137.26,True
27,2950,5909,73.13,True
28,2276,4566,42.16,True
29,841,1696,24.34,True
30,1495,2999,35.55,True
31,202,411,7.21,True
32,807,1625,21.26,True
33,4430,8871,139.08,True
34,386,783,16.89,True
35,1964,3941,41.91,True
36,946,1899,25.49,True
37,113,232,11.73,True
38,382,771,16.65,True
39,2096,4198,46.69,True
40,8883,17774,252.76,True
41,1699,3405,36.57,True
42,7,24,4.29,True
43,818,1643,22.44,True
44,128,268,10.55,True
45,1444,2896,37.48,True
46,1336,2684,24.98,True
47,327,660,14.42,True
48,2596,5201,82.56,True
49,185,380,9.74,True
50,1964,3934,38.23,True
51,2915,5839,78.24,True
52,526,1062,19.89,True
53,458,922,18.62,True
54,824,1653,21.97,True
55,155,322,6.96,True
56,1534,3074,39.16,True
57,427,864,14.75,True
58,1668,3343,45.11,True
59,638,1283,18.81,True
60,979,1966,24.4,True
61,2508,5029,61.34,True
62,2212,4436,58.09,True
63,3313,6631,77.12,True
64,3559,7130,97.3,True
65,622,1255,20.16,True
66,3597,7209,88.16,True
67,3682,7374,89.14,True
68,450,907,15.93,True
69,776,1563,21.45,True
70,822,1658,26.26,True
71,374,760,15.78,True
72,340,688,16.7,True
73,4989,9991,136.34,True
74,245,500,14.36,True
75,4781,9568,130.59,True
76,729,1468,21.59,True
77,3089,6188,72.4,True
78,2734,5483,72.49,True
79,154,318,7.99,True
80,1257,2522,31.1,True
81,710,1431,16.14,True
82,1079,2168,29.41,True
83,4983,9976,80.56,True
84,790,1586,18.71,True
85,591,1189,14.43,True
86,70,145,5.22,True
87,11,29,4.46,True
88,150,314,10.2,True
89,134,275,9.33,True
90,713,1436,23.51,True
91,615,1238,18.61,True
92,382,774,16.91,True
93,127,261,12.95,True
94,560,1130,24.54,True
